Date,classification,Sentiment_Score,total_volume_usd,net_pnl,trade_count,pnl_volatility
2024-01-28,Neutral,0.0,18109.03,-2478.06972,11,262.6842407250483
2024-01-29,Greed,1.0,414208.18,486.562542,74,28.607026832226527
2024-01-30,Greed,1.0,401011.38,-173.65419100000003,49,55.423048103905174
2024-01-31,Greed,1.0,6305647.13,-799.840817,859,21.84950915114784
2024-02-01,Greed,1.0,2008.18,0.0,6,0.0
2024-02-02,Greed,1.0,474278.43,456.423473,42,41.93124714430262
2024-02-03,Greed,1.0,603820.0,223.30918699999998,56,68.62663189543068
2024-02-04,Greed,1.0,203187.53,47.62389499999999,35,31.922762604224417
2024-02-05,Greed,1.0,770198.26,-33.45419400000003,72,46.10792460482958
2024-02-06,Greed,1.0,8047153.41,-215.615907,1088,12.69131338108202
2024-02-07,Greed,1.0,6758.73,241.24212,15,56.54657345272468
2024-02-08,Greed,1.0,26051.12,770.756024,10,139.74567826297627
2024-02-11,Greed,1.0,212311.82,983.443176,34,108.62231864377547
2024-02-12,Greed,1.0,227247.69999999998,913.8817869999998,16,828.6571214700353
2024-02-13,Extreme Greed,2.0,1999.99,559.44389,14,37.98023035380744
2024-02-14,Greed,1.0,320839.88,3830.599833,111,46.39591290180694
2024-02-15,Greed,1.0,185188.04,1840.797677,63,316.49357810076214
2024-02-16,Greed,1.0,564896.51,5491.768834,182,123.4402416266129
2024-02-17,Extreme Greed,2.0,406118.07,1929.6418,94,60.99818527497303
2024-02-18,Greed,1.0,157048.17,477.6248299999999,97,82.70537448739243
2024-02-19,Extreme Greed,2.0,286377.2,4317.768563,101,118.65122386431476
2024-02-20,Greed,1.0,119419.72,3263.628824,39,192.32028933388216
2024-02-21,Extreme Greed,2.0,108047.51999999999,1858.7985700000002,22,124.40293552909927
2024-02-22,Greed,1.0,373033.87,3894.1050699999996,88,227.58249822355432
2024-02-23,Extreme Greed,2.0,111106.14,1418.55293,143,13.037213323027334
2024-02-25,Greed,1.0,4480.13,-30.7705,5,8.951179489427636
2024-02-26,Greed,1.0,192187.14,4416.8473,39,224.52232628850106
2024-02-27,Extreme Greed,2.0,209362.3,888.511733,63,91.69654366328295
2024-02-28,Extreme Greed,2.0,171107.13,2503.747235,45,130.75309252773027
2024-02-29,Extreme Greed,2.0,395666.73,9813.996992,116,149.76818963391887
2024-03-01,Extreme Greed,2.0,472974.7,8244.241409,137,111.95860869453276
